Contra III: The Alien Wars,Action
Metroid,Shooter
Metroid,Platform
Metroid,Adventure
Metroid,Action
Worms,Strategy
Worms,Action
Mega Man 5,Action
Phantasy Star IV - The End of the Millennium,Role-Playing
Michael Jackson's Moonwalker,Adventure
Sonic CD,Adventure
Kid Icarus,Adventure
Donkey Kong Country,Platform
Donkey Kong Country,Adventure
Donkey Kong Country,Action
Ecco the Dolphin,Adventure
Lemmings,Puzzle
Castlevania,Platform
Castlevania,Adventure
Castlevania,Action
Super Mario World,Platform
Super Mario World 2: Yoshi's Island,Platform
Gunstar Heroes,Shooter
World of Illusion Starring Mickey Mouse and Donald Duck,Platform
World of Illusion Starring Mickey Mouse and Donald Duck,Adventure
Super Mario Bros.,Platform
Super Mario Bros.,Action
Paper Mario,Role-Playing
Paper Mario,Action
Sonic the Hedgehog 2,Platform
Sonic the Hedgehog 2,Action
Mega Man X,Action
Monkey Island: The Secret of Monkey Island (1990),Puzzle
Monkey Island: The Secret of Monkey Island (1990),Adventure
Half-Life 2,Shooter
Lego Star Wars: The Video Game,Action
Hitman: Codename 47,Stealth
Hitman: Codename 47,Shooter
Hitman: Codename 47,Action
World of Warcraft,Role-Playing
World of Warcraft,MMO
StarCraft II: Wings of Liberty,Strategy
Call of Duty: Modern Warfare 2,Shooter
StarCraft,Strategy
Borderlands,Shooter
Borderlands,Role-Playing
Tom Clancy's H.A.W.X,Shooter
Tom Clancy's H.A.W.X,Vehicle Simulation
Tom Clancy's H.A.W.X,Action
Disney's Aladdin,Platform
Disney's Aladdin,Action
Portal,Puzzle
Battlefield: Bad Company 2,Shooter
Battlefield: Bad Company 2,Action
GoldenEye 007,Stealth
GoldenEye 007,Shooter
GoldenEye 007,Adventure
GoldenEye 007,Action
The Legend of Zelda: Ocarina of Time,Role-Playing
The Legend of Zelda: Ocarina of Time,Puzzle
The Legend of Zelda: Ocarina of Time,Platform
The Legend of Zelda: Ocarina of Time,Adventure
The Legend of Zelda: Ocarina of Time,Action
Banjo-Kazooie,Platform
